line_item_id,invoice_id,product_id,description,quantity,unit,unit_price,total_price
1,1,102950,FLOUR POWER,8.0,CS,24.063,192.5
2,1,157301,SESAME SEEDS WHITE+,1.0,CS,80.25,80.25
3,1,33425,JALAPENO SLICED,1.0,CS,51.329,51.33
4,1,78825,CURRANTS,1.0,EA,29.203,29.2
5,1,3210,MILK OAT,3.0,CS,39.948,119.84
6,1,109950,SUGAR GRANULATED CANE,1.0,CS,28.59,28.59
7,1,191928,EGGS LIQUID,1.0,CS,95.225,95.23
8,2,102950,FLOUR POWER,8.0,CS,24.063,192.5
9,2,102400,FLOUR A/P UNBLEACHED,1.0,CS,21.582,21.58
10,2,202496,FLOUR MEDIUM RYE,1.0,CS,42.8,42.8
11,2,103800,CORNMEAL YELLOW FINE,1.0,CS,25.861,25.86
12,2,158605,YEAST FRESH,1.0,CS,54.62,54.62
13,2,109609,SALT KOSHER COARSE,1.0,CS,71.658,71.66
14,2,160909,GLOVE NITRILE LARGE,1.0,CS,29.774,29.77
15,2,191928,EGGS LIQUID,1.0,CS,100.35,50.18
16,3,102950,FLOUR POWER,8.0,CS,24.063,192.5
17,3,102400,FLOUR A/P UNBLEACHED,1.0,CS,21.582,21.58
18,3,202496,FLOUR MEDIUM RYE,1.0,CS,42.8,42.8
19,3,103800,CORNMEAL YELLOW FINE,1.0,CS,25.861,25.86
20,3,158605,YEAST FRESH,1.0,CS,54.62,54.62
21,3,109609,SALT KOSHER COARSE,1.0,CS,71.658,71.66
22,3,160909,GLOVE NITRILE LARGE,1.0,CS,29.774,29.77
23,3,191928,EGGS LIQUID,1.0,CS,100.35,50.18
24,4,102950,FLOUR POWER,8.0,CS,24.063,192.5
25,4,33425,JALAPENO SLICED,1.0,CS,51.329,51.33
26,4,110150,SUGAR BROWN,1.0,CS,26.778,26.78
27,4,3210,MILK OAT,2.0,CS,39.948,79.9
28,4,191928,EGGS LIQUID,2.0,CS,100.35,200.7
29,5,102950,FLOUR POWER,8.0,CS,24.063,192.5
30,5,157301,SESAME SEEDS WHITE+,1.0,CS,80.25,80.25
31,5,8159,MILK WHOLE GALLON RED CAP,1.0,CS,17.999,18.0
32,5,109950,SUGAR GRANULATED CANE,1.0,CS,29.15,29.15
33,5,3244,SUGAR HALF QT,2.0,EA,2.637,5.27
34,5,160908,GLOVE NITRILE MEDIUM,1.0,CS,29.771,29.77
35,6,102950,FLOUR POWER,10.0,CS,24.063,240.63
36,6,78825,CURRANTS,1.0,EA,16.588,16.59
37,6,160909,GLOVE NITRILE LARGE,1.0,CS,29.774,29.77
38,7,102950,FLOUR POWER,10.0,CS,24.063,240.63
39,7,154551,ONION MINCED,1.0,CS,113.33,113.33
40,7,157301,SESAME SEEDS WHITE+,1.0,CS,80.25,80.25
41,7,109609,SALT KOSHER COARSE,2.0,CS,75.076,150.15
42,7,160878,GLOVE NITRILE XL,1.0,CS,36.25,36.25
43,7,158609,YEAST INSTANT RED LBL SAF,1.0,CS,130.8,130.8
44,8,102950,FLOUR POWER,10.0,CS,24.063,240.63
45,8,151011,MALT POWDER DIASTATIC+,1.0,BG,116.848,116.85
46,8,33425,JALAPENO SLICED 6 #10,1.0,CS,51.329,51.33
47,8,160908,GLOVE NITRILE MEDIUM 10 x 100,1.0,CS,29.78,29.78
48,8,191928,EGGS LIQUID 2 x 20 LB,1.0,CS,95.225,95.23
49,8,3210,MILK OAT 12 x 32 Oz,1.0,CS,39.948,39.95
50,9,102950,FLOUR POWER,12.0,CS,24.063,288.76
51,9,103800,CORNMEAL YELLOW FINE,1.0,CS,25.101,25.1
52,9,160908,GLOVE NITRILE MEDIUM,1.0,CS,29.783,29.78
53,9,157301,SESAME SEEDS WHITE+,1.0,CS,80.25,80.0
54,9,156651,POPPY SEED,1.0,CS,96.0,96.0
55,10,102950,FLOUR POWER,10.0,CS,24.063,240.63
56,10,160878,GLOVE NITRILE XL,1.0,CS,35.383,35.38
57,10,111361,TAHINI EXTRA,1.0,CS,57.776,57.78
58,10,3210,MILK OAT,3.0,CS,39.948,119.84
59,10,191928,EGGS LIQUID,1.0,CS,100.35,100.35
60,11,102950,FLOUR POWER,8.0,CS,24.063,192.5
61,11,66523,PAN SPRAY PREMIUM,1.0,CS,34.038,34.04
62,11,109609,SALT KOSHER COARSE,1.0,CS,75.076,75.08
63,11,154551,ONION MINCED,1.0,CS,104.0,104.0
64,11,153051,GARLIC MINCED,1.0,CS,112.0,112.0
65,11,157301,SESAME SEEDS WHITE+,1.0,CS,80.25,80.25
66,11,3221,MILK ALMOND,1.0,CS,35.152,35.152
67,11,3210,MILK OAT,1.0,CS,39.95,39.95
